OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price
66255,CIRCLE K #4707217,US-2 & SR-16,Gorham,NH,170,3.75066666
66257,LOVES TRAVEL STOP #310,"I-80/US-30, EXIT 173",Wamsutter,WY,795,3.723
66257,LOVES TRAVEL STOPS #310,"I-80/US-30, EXIT 173",Wamsutter,WY,795,3.759
66258,CIRCLE K #4707208,"I-93, EXIT 23",New Hampton,NH,170,3.659
66259,CEFCO #48,"I-35, EXIT 304",Temple,TX,765,2.96566666
66261,CIRCLE K #2723123,"I-95, EXIT 71",Dunn,NC,205,3.14233333
66263,One9 SPEEDWAY #6753,"I-78, EXIT 1",Fleetwood,PA,208,3.83233333
66266,7-ELEVEN #40508,"I-80, EXIT 90",Elkhart,IN,465,3.999
66267,TA DEMOTTE TRAVEL CENTER,"I-65, EXIT 230",Demotte,IN,365,3.44733333
66272,MOOSETRACKS #752,"I-85, EXIT 113",High Point,NC,63,3.114
66273,PETRO STOPPING CENTER,"I-59, EXIT 181 & US-77",Gadsden                                 ,AL,615,3.999
66274,FLYING J TRAVEL PLAZA #692,"I-80, EXIT 352 & US-93",Wells,NV,835,3.709
66278,PILOT TRAVEL CENTERS #394,"I-84, EXIT 6",Newburgh,NY,32,4.359
66279,PETRO-CANADA,ST 11A & TAYLOR DRIVE,Red Deer,AB,80,3.59147696
66279,PETRO-CANADA,ST 11A & TAYLOR DRIVE,Red Deer,AB,80,3.7575457
66279,PETRO-CANADA,ST 11A & TAYLOR DRIVE,Red Deer,AB,80,3.76502588
66279,PETRO-CANADA,ST 11A & TAYLOR DRIVE,Red Deer,AB,80,3.84026087
66279,PETRO-CANADA,ST 11A & TAYLOR DRIVE,Red Deer,AB,80,3.92293954
66279,PETRO-CANADA,ST 11A & TAYLOR DRIVE,Red Deer,AB,80,3.79237641
66284,JOLLEY #150,"I-89, EXIT 19",Saint Albans,VT,39,3.539
66285,QUIKTRIP #787,"I-675, EXIT 5",Ellenwood,GA,18,3.109
66286,CASEYS #4205,"I-40/75, EXIT 374",Knoxville,TN,405,3.099
66290,ABBYLAND TRUCK STOP,"SR-29, EXIT 127",Curtiss,WI,395,3.46233333
66292,LOVES TRAVEL STOP #311,"I-20, EXIT 9",Waco,GA,18,3.39066666
66293,One9 #254,"I-24, EXIT 169",Wildwood,GA,285,3.099
66294,FLYING J TRAVEL PLAZA #667,"I-69, EXIT 81SB / I-96, EXIT 9",Grand Ledge,MI,406,3.959
66295,LOVES TRAVEL STOP #432,"I-94/I-41,  EXIT 322 & SR-100",Oak Creek,WI,444,3.867
66295,LOVES TRAVEL STOPS #432,"I-94/I-41,  EXIT 322 & SR-100",Oak Creek,WI,444,3.879
66299,XTRA MART #10093,SR-146,Millbury,MA,175,3.649
66300,PILOT TRAVEL CENTERS #149,"I-40, EXIT 42 & SR-222",Stanton                                 ,TN,435,3.509
66301,KWIK TRIP #743,US-10 & SR-114,Menasha,WI,582,3.50733333
66303,KWIK TRIP #787,US-51 & CR-JJ,Schofield,WI,395,3.41566666
66307,CM ST HELENA,SR-16,Amite,LA,600,3.399
66310,FLYING J #620,"I-70, EXIT 49",Smithton                                ,PA,165,4.109
